Participant_ID,TPT,AA,ABA
P24,STP,Audio Assistance Enabled,33.74060385
P24,STP,Audio Assistance Enabled,20.60191724
P24,RSVP,Audio Assistance Disabled,31.50130261
P24,RSVP,Audio Assistance Disabled,19.91255091
P24,RSVP,Audio Assistance Enabled,20.95777297
P24,RSVP,Audio Assistance Enabled,18.52293741
P25,STP,Audio Assistance Disabled,12.35149014
P25,STP,Audio Assistance Disabled,28.71810693
P25,STP,Audio Assistance Enabled,19.92936009
P25,STP,Audio Assistance Enabled,17.69833404
P25,RSVP,Audio Assistance Disabled,16.11552467
P25,RSVP,Audio Assistance Disabled,29.4760431
P25,RSVP,Audio Assistance Enabled,0
P25,RSVP,Audio Assistance Enabled,0
P26,STP,Audio Assistance Disabled,62.34691939
P26,STP,Audio Assistance Enabled,33.72877143
P26,RSVP,Audio Assistance Disabled,29.26335708
P26,RSVP,Audio Assistance Disabled,52.49820693
P26,RSVP,Audio Assistance Enabled,18.13955892
P27,STP,Audio Assistance Disabled,13.43036923
P27,STP,Audio Assistance Disabled,0
P27,STP,Audio Assistance Enabled,7.301324
P27,STP,Audio Assistance Enabled,15.36566447
P27,RSVP,Audio Assistance Disabled,0
P27,RSVP,Audio Assistance Disabled,3.884615789
P27,RSVP,Audio Assistance Enabled,36.78591429
P27,RSVP,Audio Assistance Enabled,0
P28,STP,Audio Assistance Disabled,12.72396992
P28,STP,Audio Assistance Disabled,0
P28,STP,Audio Assistance Enabled,12.37751183
P28,STP,Audio Assistance Enabled,14.381135
P28,RSVP,Audio Assistance Disabled,10.21806306
P28,RSVP,Audio Assistance Disabled,26.57253305
P28,RSVP,Audio Assistance Enabled,1.129169231
P29,STP,Audio Assistance Disabled,54.59819006
P29,STP,Audio Assistance Disabled,50.35898065
P29,STP,Audio Assistance Enabled,12.29492311
P29,STP,Audio Assistance Enabled,15.37012041
P29,RSVP,Audio Assistance Disabled,19.24267816
P29,RSVP,Audio Assistance Disabled,23.466836
P29,RSVP,Audio Assistance Enabled,15.56223849
P29,RSVP,Audio Assistance Enabled,24.4375574
P30,STP,Audio Assistance Disabled,57.91459091
P30,STP,Audio Assistance Disabled,17.27369013
P30,RSVP,Audio Assistance Disabled,26.07576259
P30,RSVP,Audio Assistance Enabled,27.2427665
