Participant_ID,TPT,AA,ALPO
P23,RSVP,Audio Assistance Disabled,0.632622917
P23,RSVP,Audio Assistance Enabled,0.650162046
P23,RSVP,Audio Assistance Enabled,0.946673796
P24,STP,Audio Assistance Disabled,0.491123309
P24,STP,Audio Assistance Disabled,0.603587978
P24,STP,Audio Assistance Enabled,1.369208774
P24,STP,Audio Assistance Enabled,0.428595718
P24,RSVP,Audio Assistance Disabled,0.624202289
P24,RSVP,Audio Assistance Disabled,0.670342977
P24,RSVP,Audio Assistance Enabled,0.537002135
P24,RSVP,Audio Assistance Enabled,1.298522782
P25,STP,Audio Assistance Disabled,0.562167482
P25,STP,Audio Assistance Disabled,0.764406659
P25,STP,Audio Assistance Enabled,0.355619298
P25,STP,Audio Assistance Enabled,0.777647922
P25,RSVP,Audio Assistance Disabled,0.385239548
P25,RSVP,Audio Assistance Disabled,0.818256924
P25,RSVP,Audio Assistance Enabled,1.042052357
P25,RSVP,Audio Assistance Enabled,0.920407793
P26,STP,Audio Assistance Disabled,0.518510423
P26,STP,Audio Assistance Disabled,0.273159278
P26,STP,Audio Assistance Enabled,0.290787956
P26,STP,Audio Assistance Enabled,0.947690709
P26,RSVP,Audio Assistance Disabled,0.356653493
P26,RSVP,Audio Assistance Disabled,0.638587812
P26,RSVP,Audio Assistance Enabled,0.601319477
P26,RSVP,Audio Assistance Enabled,0.602798998
P27,STP,Audio Assistance Disabled,0.722494095
P27,STP,Audio Assistance Disabled,0.532117433
P27,STP,Audio Assistance Enabled,0.532538829
P27,STP,Audio Assistance Enabled,0.574965405
P27,RSVP,Audio Assistance Disabled,0.788579336
P27,RSVP,Audio Assistance Disabled,0.355057547
P27,RSVP,Audio Assistance Enabled,0.46127061
P27,RSVP,Audio Assistance Enabled,1.004904436
P28,STP,Audio Assistance Disabled,0.97882197
P28,STP,Audio Assistance Disabled,0.971129125
P28,STP,Audio Assistance Enabled,1.084393405
P28,STP,Audio Assistance Enabled,1.130496438
P28,RSVP,Audio Assistance Disabled,0.782710085
P28,RSVP,Audio Assistance Enabled,0.968855425
P29,STP,Audio Assistance Disabled,0.376428618
P29,STP,Audio Assistance Disabled,0.308684962
P29,STP,Audio Assistance Enabled,0.524668651
P29,STP,Audio Assistance Enabled,0.276091421
P29,RSVP,Audio Assistance Disabled,0.351510295
P29,RSVP,Audio Assistance Disabled,0.336467624
P29,RSVP,Audio Assistance Enabled,0.427086938
P29,RSVP,Audio Assistance Enabled,0.280516012
P30,STP,Audio Assistance Disabled,0.647062703
P30,STP,Audio Assistance Disabled,0.506456914
P30,STP,Audio Assistance Enabled,1.044337372
P30,STP,Audio Assistance Enabled,0.92915174
P30,RSVP,Audio Assistance Disabled,0.62511648
P30,RSVP,Audio Assistance Disabled,1.026623777
P30,RSVP,Audio Assistance Enabled,0.430551737
P30,RSVP,Audio Assistance Enabled,0.971471995
