Participant_ID,TPT,AA,MBI
P18,STP,Audio Assistance Enabled,33.7285
P18,RSVP,Audio Assistance Disabled,46.8238
P18,RSVP,Audio Assistance Disabled,0
P18,RSVP,Audio Assistance Enabled,21.4282
P18,RSVP,Audio Assistance Enabled,64.062
P19,STP,Audio Assistance Disabled,51.5618
P19,STP,Audio Assistance Disabled,100
P19,STP,Audio Assistance Enabled,15.079
P19,STP,Audio Assistance Enabled,35.3155
P19,RSVP,Audio Assistance Disabled,48.4108
P19,RSVP,Audio Assistance Disabled,7.1427
P19,RSVP,Audio Assistance Enabled,35.7122
P19,RSVP,Audio Assistance Enabled,0
P20,STP,Audio Assistance Disabled,39.6811
P20,STP,Audio Assistance Disabled,20.2365
P20,STP,Audio Assistance Enabled,29.7612
P20,STP,Audio Assistance Enabled,67.187
P20,RSVP,Audio Assistance Disabled,20.2365
P20,RSVP,Audio Assistance Disabled,13.8888
P20,RSVP,Audio Assistance Enabled,27.776
P20,RSVP,Audio Assistance Enabled,31.7449
P21,STP,Audio Assistance Disabled,51.1711
P21,STP,Audio Assistance Enabled,19.0463
P21,STP,Audio Assistance Enabled,69.1402
P21,RSVP,Audio Assistance Disabled,49.601
P21,RSVP,Audio Assistance Disabled,29.3645
P21,RSVP,Audio Assistance Enabled,58.9837
P21,RSVP,Audio Assistance Enabled,62.8901
P22,STP,Audio Assistance Disabled,0.7935
P22,STP,Audio Assistance Disabled,23.8087
P22,STP,Audio Assistance Enabled,0
P22,STP,Audio Assistance Enabled,0
P22,RSVP,Audio Assistance Disabled,65.6245
P22,RSVP,Audio Assistance Disabled,0
P22,RSVP,Audio Assistance Enabled,20.2365
P22,RSVP,Audio Assistance Enabled,69.5308
P23,STP,Audio Assistance Disabled,17.0626
P23,STP,Audio Assistance Disabled,75.3902
P23,STP,Audio Assistance Enabled,19.8398
P23,STP,Audio Assistance Enabled,47.6173
P23,RSVP,Audio Assistance Disabled,20.2365
P23,RSVP,Audio Assistance Enabled,55.0774
P23,RSVP,Audio Assistance Enabled,13.8888
P24,STP,Audio Assistance Disabled,19.0463
P24,STP,Audio Assistance Disabled,18.2528
P24,STP,Audio Assistance Enabled,38.0941
P24,RSVP,Audio Assistance Disabled,66.0151
P24,RSVP,Audio Assistance Disabled,31.7449
P24,RSVP,Audio Assistance Enabled,23.0152
P24,RSVP,Audio Assistance Enabled,27.776
P25,STP,Audio Assistance Disabled,51.5618
P25,STP,Audio Assistance Disabled,18.2528
P25,STP,Audio Assistance Enabled,29.7612
P25,STP,Audio Assistance Enabled,19.8398
P25,RSVP,Audio Assistance Disabled,46.4271
P25,RSVP,Audio Assistance Disabled,19.0463
P25,RSVP,Audio Assistance Enabled,0
P25,RSVP,Audio Assistance Enabled,0
P26,STP,Audio Assistance Disabled,89.0623
P26,STP,Audio Assistance Disabled,87.1092
P26,STP,Audio Assistance Enabled,78.5153
P26,STP,Audio Assistance Enabled,46.0304
P26,RSVP,Audio Assistance Disabled,76.5621
P26,RSVP,Audio Assistance Disabled,75.3902
P26,RSVP,Audio Assistance Enabled,36.5057
P26,RSVP,Audio Assistance Enabled,89.0623
P27,STP,Audio Assistance Disabled,0
P27,STP,Audio Assistance Disabled,18.6496
P27,STP,Audio Assistance Enabled,9.5232
P27,STP,Audio Assistance Enabled,29.3645
P27,RSVP,Audio Assistance Disabled,5.5558
P27,RSVP,Audio Assistance Disabled,0
P27,RSVP,Audio Assistance Enabled,0
P27,RSVP,Audio Assistance Enabled,50.3899
P28,STP,Audio Assistance Disabled,17.4594
P28,STP,Audio Assistance Disabled,0
P28,STP,Audio Assistance Enabled,18.6496
P28,STP,Audio Assistance Enabled,27.3793
P28,RSVP,Audio Assistance Disabled,55.8587
P28,RSVP,Audio Assistance Disabled,11.9036
P28,RSVP,Audio Assistance Enabled,1.1902
P29,STP,Audio Assistance Disabled,76.9528
P29,STP,Audio Assistance Disabled,72.2652
P29,STP,Audio Assistance Enabled,26.5858
P29,STP,Audio Assistance Enabled,21.4282
P29,RSVP,Audio Assistance Disabled,28.5695
P29,RSVP,Audio Assistance Disabled,36.5057
P29,RSVP,Audio Assistance Enabled,36.1089
P29,RSVP,Audio Assistance Enabled,57.4212
P30,STP,Audio Assistance Disabled,93.3593
P30,STP,Audio Assistance Disabled,34.1253
P30,STP,Audio Assistance Enabled,78.5153
P30,STP,Audio Assistance Enabled,81.2497
P30,RSVP,Audio Assistance Disabled,42.4582
P30,RSVP,Audio Assistance Disabled,59.3744
P30,RSVP,Audio Assistance Enabled,57.0306
P30,RSVP,Audio Assistance Enabled,73.8277
