Participant_ID,TPT,AA,SDLP
P23,RSVP,Audio Assistance Enabled,0.425237373
P23,RSVP,Audio Assistance Enabled,0.315561601
P24,STP,Audio Assistance Disabled,0.292059282
P24,STP,Audio Assistance Disabled,0.362910748
P24,STP,Audio Assistance Enabled,0.539982035
P24,STP,Audio Assistance Enabled,0.187407231
P24,RSVP,Audio Assistance Disabled,0.273517508
P24,RSVP,Audio Assistance Disabled,0.335580905
P24,RSVP,Audio Assistance Enabled,0.361245553
P24,RSVP,Audio Assistance Enabled,0.392667714
P25,STP,Audio Assistance Disabled,0.206293829
P25,STP,Audio Assistance Disabled,0.520994895
P25,STP,Audio Assistance Enabled,0.228032372
P25,STP,Audio Assistance Enabled,0.317947913
P25,RSVP,Audio Assistance Disabled,0.388281485
P25,RSVP,Audio Assistance Disabled,0.133926613
P25,RSVP,Audio Assistance Enabled,0.576795416
P25,RSVP,Audio Assistance Enabled,0.59531054
P26,STP,Audio Assistance Disabled,0.104035873
P26,STP,Audio Assistance Disabled,0.196430132
P26,STP,Audio Assistance Enabled,0.123071539
P26,STP,Audio Assistance Enabled,0.584810661
P26,RSVP,Audio Assistance Disabled,0.232727453
P26,RSVP,Audio Assistance Disabled,0.129212876
P26,RSVP,Audio Assistance Enabled,0.496944147
P26,RSVP,Audio Assistance Enabled,0.197552817
P27,STP,Audio Assistance Disabled,0.221741899
P27,STP,Audio Assistance Disabled,0.352099641
P27,STP,Audio Assistance Enabled,0.433793642
P27,STP,Audio Assistance Enabled,0.497813518
P27,RSVP,Audio Assistance Disabled,0.52213658
P27,RSVP,Audio Assistance Disabled,0.261640194
P27,RSVP,Audio Assistance Enabled,0.295922718
P27,RSVP,Audio Assistance Enabled,0.25290792
P28,STP,Audio Assistance Disabled,0.510036944
P28,STP,Audio Assistance Disabled,0.646585375
P28,STP,Audio Assistance Enabled,0.291955669
P28,STP,Audio Assistance Enabled,0.170651131
P28,RSVP,Audio Assistance Disabled,0.357709416
P28,RSVP,Audio Assistance Disabled,0.184654985
P28,RSVP,Audio Assistance Enabled,0.599643071
P29,STP,Audio Assistance Disabled,0.109528291
P29,STP,Audio Assistance Disabled,0.137898097
P29,STP,Audio Assistance Enabled,0.332188679
