Participant_ID,Text Presentation Technique,Audio Assistance,Average Brake Actuation (in %)
P22,RSVP,Audio Assistance Disabled,30.743938743455494
P22,RSVP,Audio Assistance Enabled,43.84737615384615
P22,RSVP,Audio Assistance Enabled,14.473439024390245
P23,STP,Audio Assistance Disabled,13.073757894736845
P23,STP,Audio Assistance Enabled,28.86703669064748
P23,STP,Audio Assistance Enabled,16.28582021276595
P23,RSVP,Audio Assistance Disabled,19.932591428571428
P23,RSVP,Audio Assistance Disabled,17.928337301587298
P23,RSVP,Audio Assistance Enabled,11.239784782608698
P24,STP,Audio Assistance Disabled,14.207205982905982
P24,STP,Audio Assistance Disabled,13.525463131313135
P24,STP,Audio Assistance Enabled,33.740603846153846
P24,STP,Audio Assistance Enabled,20.601917241379304
P24,RSVP,Audio Assistance Disabled,31.50130261437909
P24,RSVP,Audio Assistance Disabled,19.91255090909091
P24,RSVP,Audio Assistance Enabled,20.957772972972972
P24,RSVP,Audio Assistance Enabled,18.522937414965988
P25,STP,Audio Assistance Disabled,12.35149014084507
P25,STP,Audio Assistance Disabled,28.718106930693065
P25,STP,Audio Assistance Enabled,19.929360089686103
P25,STP,Audio Assistance Enabled,17.698334042553196
P25,RSVP,Audio Assistance Disabled,16.115524666666666
P25,RSVP,Audio Assistance Disabled,29.476043103448273
P25,RSVP,Audio Assistance Enabled,0.0
P25,RSVP,Audio Assistance Enabled,0.0
P26,STP,Audio Assistance Disabled,62.34691938775509
P26,STP,Audio Assistance Enabled,33.72877142857143
P26,RSVP,Audio Assistance Disabled,29.263357075471703
P26,RSVP,Audio Assistance Disabled,52.49820693069308
P26,RSVP,Audio Assistance Enabled,18.13955892116183
P27,STP,Audio Assistance Disabled,13.430369230769232
P27,STP,Audio Assistance Disabled,0.0
P27,STP,Audio Assistance Enabled,7.301324000000001
P27,STP,Audio Assistance Enabled,15.365664473684216
P27,RSVP,Audio Assistance Disabled,0.0
P27,RSVP,Audio Assistance Disabled,3.884615789473684
P27,RSVP,Audio Assistance Enabled,36.78591428571429
P27,RSVP,Audio Assistance Enabled,0.0
P28,STP,Audio Assistance Disabled,12.723969918699188
P28,STP,Audio Assistance Disabled,0.0
P28,STP,Audio Assistance Enabled,12.37751182795699
P28,STP,Audio Assistance Enabled,14.381134999999997
P28,RSVP,Audio Assistance Disabled,10.218063057324839
P28,RSVP,Audio Assistance Disabled,26.572533054393304
P28,RSVP,Audio Assistance Enabled,1.129169230769231
P29,STP,Audio Assistance Disabled,54.59819005524862
P29,STP,Audio Assistance Disabled,50.3589806451613
P29,STP,Audio Assistance Enabled,12.294923106060608
P29,STP,Audio Assistance Enabled,15.370120408163265
P29,RSVP,Audio Assistance Disabled,19.242678160919542
P29,RSVP,Audio Assistance Disabled,23.466836
P29,RSVP,Audio Assistance Enabled,15.562238493723854
P29,RSVP,Audio Assistance Enabled,24.437557400722017
P30,STP,Audio Assistance Disabled,57.914590909090904
P30,STP,Audio Assistance Disabled,17.273690128755366
P30,RSVP,Audio Assistance Disabled,26.075762585034013
P30,RSVP,Audio Assistance Enabled,27.242766497461922
