Participant_ID,TPT,AA,SWRR
P25,RSVP,Audio Assistance Disabled,2.387267905
P25,RSVP,Audio Assistance Disabled,1.534526854
P25,RSVP,Audio Assistance Enabled,5.691056911
P25,RSVP,Audio Assistance Enabled,0
P26,STP,Audio Assistance Disabled,0
P26,STP,Audio Assistance Disabled,4.825737265
P26,STP,Audio Assistance Enabled,0
P26,STP,Audio Assistance Enabled,8.943089431
P26,RSVP,Audio Assistance Disabled,12.25961538
P26,RSVP,Audio Assistance Disabled,8.776595745
P26,RSVP,Audio Assistance Enabled,2.419354839
P27,STP,Audio Assistance Disabled,0
P27,STP,Audio Assistance Enabled,0
P27,STP,Audio Assistance Enabled,7.605633803
P27,RSVP,Audio Assistance Disabled,0
P27,RSVP,Audio Assistance Disabled,0
P27,RSVP,Audio Assistance Enabled,6.382978723
P27,RSVP,Audio Assistance Enabled,0
P28,STP,Audio Assistance Disabled,0
P28,STP,Audio Assistance Enabled,2.212389381
P28,STP,Audio Assistance Enabled,13.26781327
P28,RSVP,Audio Assistance Disabled,2.380952381
P28,RSVP,Audio Assistance Enabled,0
P29,STP,Audio Assistance Disabled,3.069053708
P29,STP,Audio Assistance Enabled,4.904632153
P29,RSVP,Audio Assistance Disabled,0
P29,RSVP,Audio Assistance Disabled,0
P29,RSVP,Audio Assistance Enabled,8.379888268
P29,RSVP,Audio Assistance Enabled,0
P30,STP,Audio Assistance Disabled,0
P30,STP,Audio Assistance Disabled,14.68531469
P30,STP,Audio Assistance Enabled,8.31408776
P30,STP,Audio Assistance Enabled,3.896103896
P30,RSVP,Audio Assistance Disabled,6.722689076
P30,RSVP,Audio Assistance Disabled,3.149606299
P30,RSVP,Audio Assistance Enabled,0
P30,RSVP,Audio Assistance Enabled,2.684563758
