Participant_ID,Text Presentation Technique,Audio Assistance,Lane Position Offset (in meters)
P21,RSVP,Audio Assistance Disabled,0.36276003100000004
P21,RSVP,Audio Assistance Enabled,0.5600403219500001
P21,RSVP,Audio Assistance Enabled,0.5309868008888888
P22,STP,Audio Assistance Disabled,0.2810625039444444
P22,STP,Audio Assistance Disabled,0.8021727658333333
P22,STP,Audio Assistance Enabled,1.1088642809354838
P22,RSVP,Audio Assistance Disabled,1.1994983270540533
P22,RSVP,Audio Assistance Disabled,0.8381049919047618
P22,RSVP,Audio Assistance Enabled,0.6846943824761906
P22,RSVP,Audio Assistance Enabled,0.890616897535714
P23,STP,Audio Assistance Disabled,0.8475646589787236
P23,STP,Audio Assistance Disabled,0.7169569982444445
P23,STP,Audio Assistance Enabled,0.746559048864865
P23,STP,Audio Assistance Enabled,0.7756096468571427
P23,RSVP,Audio Assistance Disabled,0.6326229166666667
P23,RSVP,Audio Assistance Enabled,0.6501620460588236
P23,RSVP,Audio Assistance Enabled,0.9466737958372095
P24,STP,Audio Assistance Disabled,0.49112330867741955
P24,STP,Audio Assistance Disabled,0.6035879777560975
P24,STP,Audio Assistance Enabled,1.3692087740779217
P24,STP,Audio Assistance Enabled,0.4285957175714286
P24,RSVP,Audio Assistance Disabled,0.6242022894929576
P24,RSVP,Audio Assistance Disabled,0.6703429774285714
P24,RSVP,Audio Assistance Enabled,0.5370021352222222
P24,RSVP,Audio Assistance Enabled,1.2985227820487804
P25,STP,Audio Assistance Disabled,0.5621674815086206
P25,STP,Audio Assistance Disabled,0.764406658904762
P25,STP,Audio Assistance Enabled,0.35561929820833343
P25,STP,Audio Assistance Enabled,0.7776479224761905
P25,RSVP,Audio Assistance Disabled,0.38523954794999976
P25,RSVP,Audio Assistance Disabled,0.8182569243953487
P25,RSVP,Audio Assistance Enabled,1.0420523569599998
P25,RSVP,Audio Assistance Enabled,0.9204077925238094
P26,STP,Audio Assistance Disabled,0.5185104230425531
P26,STP,Audio Assistance Disabled,0.2731592777142857
P26,STP,Audio Assistance Enabled,0.29078795590476186
P26,STP,Audio Assistance Enabled,0.947690708648148
P26,RSVP,Audio Assistance Disabled,0.35665349269999996
P26,RSVP,Audio Assistance Disabled,0.6385878119047618
P26,RSVP,Audio Assistance Enabled,0.6013194765797101
P26,RSVP,Audio Assistance Enabled,0.6027989979574467
P27,STP,Audio Assistance Disabled,0.7224940945869563
P27,STP,Audio Assistance Disabled,0.5321174329230769
P27,STP,Audio Assistance Enabled,0.5325388288571429
P27,STP,Audio Assistance Enabled,0.5749654051276595
P27,RSVP,Audio Assistance Disabled,0.7885793363333333
P27,RSVP,Audio Assistance Disabled,0.35505754691666663
P27,RSVP,Audio Assistance Enabled,0.46127061017021276
P27,RSVP,Audio Assistance Enabled,1.0049044355535715
P28,STP,Audio Assistance Disabled,0.9788219696153847
P28,STP,Audio Assistance Disabled,0.9711291253809525
P28,STP,Audio Assistance Enabled,1.0843934054239128
P28,STP,Audio Assistance Enabled,1.1304964376666669
P28,RSVP,Audio Assistance Disabled,0.7827100847096776
P28,RSVP,Audio Assistance Enabled,0.9688554254285714
P29,STP,Audio Assistance Disabled,0.3764286175846153
P29,STP,Audio Assistance Disabled,0.3086849624878049
P29,STP,Audio Assistance Enabled,0.5246686509863014
P29,STP,Audio Assistance Enabled,0.27609142099999995
P29,RSVP,Audio Assistance Disabled,0.3515102954761905
P29,RSVP,Audio Assistance Disabled,0.3364676241538462
P29,RSVP,Audio Assistance Enabled,0.4270869375645162
P29,RSVP,Audio Assistance Enabled,0.280516012095238
P30,STP,Audio Assistance Disabled,0.6470627034727271
P30,STP,Audio Assistance Disabled,0.5064569137619049
P30,STP,Audio Assistance Enabled,1.0443373719846158
P30,STP,Audio Assistance Enabled,0.9291517400487808
P30,RSVP,Audio Assistance Disabled,0.6251164800434783
P30,RSVP,Audio Assistance Disabled,1.026623776707317
P30,RSVP,Audio Assistance Enabled,0.4305517369545454
P30,RSVP,Audio Assistance Enabled,0.9714719945166668
